feedback_id,date,feedback,sentiment
fb_0000,2025-09-26 05:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0001,2025-05-10 19:06:01.026996,The customer service was excellent!,Positive
fb_0002,2025-04-16 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0003,2025-10-19 22:06:01.026996,The website is #awful and slow.,Negative
fb_0004,2025-02-06 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0005,2025-08-27 23:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0006,2025-08-17 19:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0007,2024-12-01 02:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0008,2025-07-27 18:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0009,2025-06-27 02:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0010,2025-01-15 05:06:01.026996,I haven't used the support team yet.,Neutral
fb_0011,2025-01-02 11:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0012,2025-02-23 03:06:01.026996,The website is #awful and slow.,Negative
fb_0013,2024-12-04 18:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0014,2025-09-14 16:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0015,2025-08-24 09:06:01.026996,My order arrived late and was damaged.,Negative
fb_0016,2025-06-07 06:06:01.026996,"Great experience, will buy again.",Positive
fb_0017,2025-10-25 14:06:01.026996,The customer service was excellent!,Positive
fb_0018,2025-04-18 23:06:01.026996,I am very unhappy with the support team.,Negative
fb_0019,2025-01-05 11:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0020,2024-12-03 00:06:01.026996,I haven't used the support team yet.,Neutral
fb_0021,2025-04-09 12:06:01.026996,I am very unhappy with the support team.,Negative
fb_0022,2025-07-20 04:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0023,2025-08-14 04:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0024,2025-08-30 13:06:01.026996,My order arrived late and was damaged.,Negative
fb_0025,2025-01-26 20:06:01.026996,"Great experience, will buy again.",Positive
fb_0026,2025-08-20 01:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0027,2024-11-17 12:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0028,2024-11-05 21:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0029,2025-08-18 15:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0030,2024-11-10 04:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0031,2025-04-27 00:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0032,2025-02-13 11:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0033,2025-10-29 06:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0034,2024-11-13 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0035,2025-10-13 01:06:01.026996,"Great experience, will buy again.",Positive
fb_0036,2025-10-12 03:06:01.026996,My order arrived late and was damaged.,Negative
fb_0037,2025-01-31 19:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0038,2025-10-12 20:06:01.026996,,Positive
fb_0039,2025-06-18 23:06:01.026996,,Negative
fb_0040,2025-09-10 16:06:01.026996,The price is fair for what you get.,Neutral
fb_0041,2025-06-29 04:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0042,2024-10-30 20:06:01.026996,My order arrived late and was damaged.,Negative
fb_0043,2024-11-08 05:06:01.026996,The customer service was excellent!,Positive
fb_0044,2025-06-05 20:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0045,2025-09-08 10:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0046,2025-10-10 16:06:01.026996,"Great experience, will buy again.",Positive
fb_0047,2025-07-08 10:06:01.026996,"Great experience, will buy again.",Positive
fb_0048,2025-01-22 12:06:01.026996,My order arrived late and was damaged.,Negative
fb_0049,2025-03-09 15:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0050,2025-02-12 07:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0051,2024-12-20 09:06:01.026996,,Negative
fb_0052,2025-02-06 15:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0053,2025-06-19 08:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0054,2025-01-19 14:06:01.026996,I am very unhappy with the support team.,Negative
fb_0055,2025-08-11 05:06:01.026996,The customer service was excellent!,Positive
fb_0056,2025-09-21 10:06:01.026996,The customer service was excellent!,Positive
fb_0057,2025-10-06 04:06:01.026996,My order arrived late and was damaged.,Negative
fb_0058,2025-09-15 11:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0059,2025-01-11 12:06:01.026996,The customer service was excellent!,Positive
fb_0060,2024-11-17 20:06:01.026996,Shipping time was average.,Neutral
fb_0061,2025-08-29 14:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0062,2025-06-02 23:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0063,2024-11-14 04:06:01.026996,The website is #awful and slow.,Negative
fb_0064,2025-05-14 01:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0065,2025-07-11 19:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0066,2025-07-22 11:06:01.026996,My order arrived late and was damaged.,Negative
fb_0067,2024-11-21 01:06:01.026996,"Great experience, will buy again.",Positive
fb_0068,2024-11-14 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0069,2025-06-23 08:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0070,2025-08-03 01:06:01.026996,"The product is okay, it does the job.",Neutral
fb_0071,2025-10-18 15:06:01.026996,,Positive
fb_0072,2025-09-13 08:06:01.026996,The website is #awful and slow.,Negative
fb_0073,2025-05-02 20:06:01.026996,The customer service was excellent!,Positive
fb_0074,2025-07-10 15:06:01.026996,The customer service was excellent!,Positive
fb_0075,2025-02-03 02:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0076,2024-12-05 20:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0077,2025-02-19 22:06:01.026996,"Great experience, will buy again.",Positive
fb_0078,2025-02-08 10:06:01.026996,The website is #awful and slow.,Negative
fb_0079,2025-10-01 06:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0080,2025-10-25 22:06:01.026996,I haven't used the support team yet.,Neutral
fb_0081,2025-04-20 17:06:01.026996,My order arrived late and was damaged.,Negative
fb_0082,2025-06-24 06:06:01.026996,"Great experience, will buy again.",Positive
fb_0083,2025-06-13 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0084,2025-06-13 18:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0085,2025-01-17 07:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0086,2025-08-18 10:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0087,2025-04-28 10:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0088,2025-04-12 05:06:01.026996,"Great experience, will buy again.",Positive
fb_0089,2025-09-01 04:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0090,2025-02-07 17:06:01.026996,Shipping time was average.,Neutral
fb_0091,2025-07-05 06:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0092,2025-08-03 11:06:01.026996,The customer service was excellent!,Positive
fb_0093,2025-04-03 11:06:01.026996,I am very unhappy with the support team.,Negative
fb_0094,2025-09-21 15:06:01.026996,The customer service was excellent!,Positive
fb_0095,2025-01-11 07:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0096,2025-07-15 01:06:01.026996,I am very unhappy with the support team.,Negative
fb_0097,2024-12-31 15:06:01.026996,I am very unhappy with the support team.,Positive
fb_0098,2024-12-27 15:06:01.026996,"Great experience, will buy again.",Positive
fb_0099,2025-04-16 23:06:01.026996,The website is #awful and slow.,Negative
fb_0100,2025-09-02 09:06:01.026996,The price is fair for what you get.,Neutral
fb_0101,2025-04-23 13:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0102,2025-07-02 07:06:01.026996,I am very unhappy with the support team.,Negative
fb_0103,2025-04-04 10:06:01.026996,"Great experience, will buy again.",Positive
fb_0104,2024-11-04 16:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0105,2025-04-07 22:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0106,2025-10-07 05:06:01.026996,"Great experience, will buy again.",Positive
fb_0107,2025-09-28 19:06:01.026996,The customer service was excellent!,Positive
fb_0108,2024-12-10 22:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0109,2025-04-08 22:06:01.026996,"Great experience, will buy again.",Positive
fb_0110,2025-10-09 18:06:01.026996,I haven't used the support team yet.,Neutral
fb_0111,2025-05-01 12:06:01.026996,I am very unhappy with the support team.,Negative
fb_0112,2025-06-17 18:06:01.026996,"Great experience, will buy again.",Positive
fb_0113,2025-05-06 20:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0114,2025-04-10 07:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0115,2025-03-07 12:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0116,2025-09-24 16:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0117,2025-02-02 03:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0118,2025-03-02 02:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0119,2025-09-09 18:06:01.026996,The customer service was excellent!,Positive
fb_0120,2025-07-13 08:06:01.026996,The price is fair for what you get.,Neutral
fb_0121,2024-12-01 23:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0122,2024-11-27 01:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0123,2025-08-06 19:06:01.026996,The website is #awful and slow.,Negative
fb_0124,2025-04-27 09:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0125,2024-11-03 01:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0126,2024-12-27 08:06:01.026996,Very satisfied with the quick delivery.,Negative
fb_0127,2025-04-13 15:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0128,2024-11-05 02:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0129,2024-12-14 18:06:01.026996,The website is #awful and slow.,Negative
fb_0130,2025-04-06 18:06:01.026996,,Neutral
fb_0131,2025-02-20 19:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0132,2024-11-16 17:06:01.026996,My order arrived late and was damaged.,Negative
fb_0133,2025-08-11 07:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0134,2025-02-10 16:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0135,2024-11-12 13:06:01.026996,Very satisfied with the quick delivery.,Negative
fb_0136,2025-05-16 18:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0137,2025-09-12 15:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0138,2025-09-10 02:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0139,2025-01-30 14:06:01.026996,The customer service was excellent!,Positive
fb_0140,2025-06-14 21:06:01.026996,"The product is okay, it does the job.",Neutral
fb_0141,2025-03-12 23:06:01.026996,My order arrived late and was damaged.,Negative
fb_0142,2025-04-15 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0143,2025-08-30 07:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0144,2025-03-30 05:06:01.026996,My order arrived late and was damaged.,Negative
fb_0145,2025-04-05 03:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0146,2025-08-21 19:06:01.026996,The customer service was excellent!,Positive
fb_0147,2025-09-20 06:06:01.026996,I am very unhappy with the support team.,Negative
fb_0148,2025-07-18 04:06:01.026996,"Great experience, will buy again.",Positive
fb_0149,2025-04-24 04:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0150,2025-03-01 12:06:01.026996,I haven't used the support team yet.,Neutral
fb_0151,2024-12-24 09:06:01.026996,The customer service was excellent!,Positive
fb_0152,2024-11-03 00:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0153,2025-06-02 12:06:01.026996,The website is #awful and slow.,Negative
fb_0154,2025-02-26 08:06:01.026996,,Positive
fb_0155,2024-11-15 14:06:01.026996,"Great experience, will buy again.",Positive
fb_0156,2025-02-04 23:06:01.026996,I am very unhappy with the support team.,Negative
fb_0157,2025-04-19 11:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0158,2024-12-21 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0159,2025-10-15 08:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0160,2025-07-23 17:06:01.026996,"The product is okay, it does the job.",Neutral
fb_0161,2025-04-16 02:06:01.026996,"Great experience, will buy again.",Positive
fb_0162,2025-06-07 21:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0163,2025-09-06 00:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0164,2025-06-25 21:06:01.026996,"Great experience, will buy again.",Positive
fb_0165,2025-09-05 00:06:01.026996,The website is #awful and slow.,Negative
fb_0166,2025-08-10 12:06:01.026996,"Great experience, will buy again.",Positive
fb_0167,2024-12-07 07:06:01.026996,"Great experience, will buy again.",Positive
fb_0168,2024-11-11 21:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0169,2024-11-01 13:06:01.026996,Product broke after one use. ##TERRIBLE,Positive
fb_0170,2025-04-12 13:06:01.026996,"The product is okay, it does the job.",Neutral
fb_0171,2025-07-26 18:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0172,2024-11-26 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0173,2024-12-07 16:06:01.026996,"Great experience, will buy again.",Positive
fb_0174,2024-11-24 21:06:01.026996,The website is #awful and slow.,Negative
fb_0175,2025-02-10 20:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0176,2025-08-05 11:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0177,2025-06-16 23:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0178,2025-08-29 09:06:01.026996,"Great experience, will buy again.",Positive
fb_0179,2025-07-12 10:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0180,2025-07-01 02:06:01.026996,The price is fair for what you get.,Neutral
fb_0181,2025-10-17 12:06:01.026996,"Great experience, will buy again.",Positive
fb_0182,2025-09-23 13:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0183,2024-11-28 22:06:01.026996,I am very unhappy with the support team.,Negative
fb_0184,2024-11-14 13:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0185,2025-03-22 14:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0186,2025-05-25 00:06:01.026996,The website is #awful and slow.,Negative
fb_0187,2025-03-26 17:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0188,2025-07-30 12:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0189,2025-02-19 04:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0190,2025-06-01 14:06:01.026996,Shipping time was average.,Neutral
fb_0191,2025-10-25 19:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0192,2025-07-24 07:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0193,2025-10-15 02:06:01.026996,,Positive
fb_0194,2025-04-23 06:06:01.026996,The customer service was excellent!,Positive
fb_0195,2025-04-18 16:06:01.026996,The website is #awful and slow.,Negative
fb_0196,2024-11-18 11:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0197,2025-07-31 17:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0198,2025-09-12 06:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0199,2025-08-24 21:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0200,2025-03-22 22:06:01.026996,I haven't used the support team yet.,Neutral
fb_0201,2024-12-02 14:06:01.026996,,Negative
fb_0202,2025-04-08 15:06:01.026996,"Great experience, will buy again.",Positive
fb_0203,2025-08-13 12:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0204,2025-07-26 12:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0205,2025-03-09 03:06:01.026996,The customer service was excellent!,Positive
fb_0206,2024-12-30 11:06:01.026996,"Great experience, will buy again.",Positive
fb_0207,2025-02-22 11:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0208,2025-10-13 00:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0209,2024-12-29 14:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0210,2025-01-09 20:06:01.026996,The price is fair for what you get.,Neutral
fb_0211,2025-04-12 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0212,2025-06-08 08:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0213,2024-11-02 06:06:01.026996,I am very unhappy with the support team.,Negative
fb_0214,2024-11-22 09:06:01.026996,I am very unhappy with the support team.,Positive
fb_0215,2024-12-13 03:06:01.026996,The customer service was excellent!,Positive
fb_0216,2025-01-25 03:06:01.026996,The website is #awful and slow.,Negative
fb_0217,2025-05-21 15:06:01.026996,The customer service was excellent!,Positive
fb_0218,2025-04-07 16:06:01.026996,The customer service was excellent!,Positive
fb_0219,2025-08-27 01:06:01.026996,I am very unhappy with the support team.,Negative
fb_0220,2025-09-29 03:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0221,2025-09-01 16:06:01.026996,"Great experience, will buy again.",Positive
fb_0222,2025-03-30 17:06:01.026996,I am very unhappy with the support team.,Negative
fb_0223,2024-12-26 16:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0224,2025-09-18 09:06:01.026996,"Great experience, will buy again.",Positive
fb_0225,2025-01-11 18:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0226,2024-12-15 19:06:01.026996,The customer service was excellent!,Positive
fb_0227,2025-03-03 01:06:01.026996,"Great experience, will buy again.",Positive
fb_0228,2024-12-11 12:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0229,2025-04-18 08:06:01.026996,"Great experience, will buy again.",Positive
fb_0230,2024-11-27 13:06:01.026996,Shipping time was average.,Neutral
fb_0231,2024-12-25 08:06:01.026996,My order arrived late and was damaged.,Negative
fb_0232,2025-07-19 11:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0233,2025-05-31 04:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0234,2025-05-11 09:06:01.026996,The website is #awful and slow.,Negative
fb_0235,2025-07-22 09:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0236,2025-01-02 16:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0237,2025-07-11 11:06:01.026996,I am very unhappy with the support team.,Negative
fb_0238,2025-02-17 17:06:01.026996,"Great experience, will buy again.",Positive
fb_0239,2025-06-26 15:06:01.026996,"Great experience, will buy again.",Positive
fb_0240,2025-01-21 06:06:01.026996,The price is fair for what you get.,Neutral
fb_0241,2025-09-22 08:06:01.026996,"Great experience, will buy again.",Positive
fb_0242,2025-07-19 00:06:01.026996,"Great experience, will buy again.",Positive
fb_0243,2024-12-08 09:06:01.026996,The website is #awful and slow.,Negative
fb_0244,2025-07-16 01:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0245,2025-05-10 12:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0246,2024-12-01 19:06:01.026996,My order arrived late and was damaged.,Negative
fb_0247,2025-06-06 01:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0248,2025-06-27 01:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0249,2025-10-30 15:06:01.026996,I am very unhappy with the support team.,Negative
fb_0250,2025-05-03 02:06:01.026996,"The product is okay, it does the job.",Neutral
fb_0251,2025-03-24 06:06:01.026996,The customer service was excellent!,Positive
fb_0252,2025-09-21 00:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0253,2025-07-22 23:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0254,2025-09-26 10:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0255,2025-02-10 09:06:01.026996,My order arrived late and was damaged.,Negative
fb_0256,2025-08-10 17:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0257,2025-01-23 01:06:01.026996,"Great experience, will buy again.",Positive
fb_0258,2024-11-28 16:06:01.026996,,Negative
fb_0259,2025-10-06 07:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0260,2025-04-13 23:06:01.026996,Shipping time was average.,Neutral
fb_0261,2025-10-04 17:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0262,2024-11-18 17:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0263,2025-03-06 23:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0264,2024-11-20 11:06:01.026996,Very satisfied with the quick delivery.,Negative
fb_0265,2025-09-07 10:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0266,2025-08-22 01:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0267,2025-10-16 04:06:01.026996,,Negative
fb_0268,2025-08-21 12:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0269,2025-03-06 09:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0270,2025-06-08 16:06:01.026996,Shipping time was average.,Neutral
fb_0271,2025-02-11 05:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0272,2025-08-13 01:06:01.026996,,Positive
fb_0273,2025-07-23 11:06:01.026996,I am very unhappy with the support team.,Negative
fb_0274,2025-10-15 13:06:01.026996,The customer service was excellent!,Positive
fb_0275,2025-08-13 15:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0276,2025-10-15 20:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0277,2025-10-30 16:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0278,2025-05-10 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0279,2025-01-01 06:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0280,2025-06-16 20:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0281,2025-03-28 18:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0282,2024-11-07 07:06:01.026996,I am very unhappy with the support team.,Negative
fb_0283,2025-09-08 00:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0284,2024-11-22 02:06:01.026996,"Great experience, will buy again.",Positive
fb_0285,2025-03-27 13:06:01.026996,,Negative
fb_0286,2025-08-14 10:06:01.026996,,Positive
fb_0287,2025-03-21 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0288,2025-09-09 00:06:01.026996,I am very unhappy with the support team.,Negative
fb_0289,2025-06-26 03:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0290,2025-10-29 19:06:01.026996,I haven't used the support team yet.,Neutral
fb_0291,2025-03-12 23:06:01.026996,The website is #awful and slow.,Negative
fb_0292,2024-11-10 06:06:01.026996,,Positive
fb_0293,2025-01-24 15:06:01.026996,The customer service was excellent!,Positive
fb_0294,2025-09-20 09:06:01.026996,My order arrived late and was damaged.,Negative
fb_0295,2025-04-09 06:06:01.026996,"Great experience, will buy again.",Positive
fb_0296,2025-06-08 19:06:01.026996,"Great experience, will buy again.",Positive
fb_0297,2025-08-30 18:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
